"","combinedPval","adjustedPval"
"sim_g045",0,0
"sim_g032",6.04177291101808e-290,5.69376426615379e-287
"sim_g064",1.61687142523072e-270,1.01582597023854e-267
"sim_g062",1.13155304177771e-259,5.33187556816489e-257
"sim_g106",4.24763318828765e-252,1.60118709652897e-249
"sim_g081",8.81968813224755e-252,2.77055680319889e-249
"sim_g118",5.83936872613348e-243,1.57229104197554e-240
"sim_g093",1.20428773280261e-236,2.83730064013752e-234
"sim_g027",6.48478892177487e-236,1.35805830434004e-233
"sim_g078",1.73631089465428e-226,3.27259732284448e-224
"sim_g000",4.9396568090705e-223,8.46387365875165e-221
"sim_g035",1.07189537518588e-222,1.68358958928511e-220
"sim_g018",2.18271783449273e-215,3.16460365376608e-213
"sim_g061",5.24961743756986e-201,7.06748182723084e-199
"sim_g042",1.79161551486842e-199,2.2512236165296e-197
"sim_g001",2.49145447388305e-194,2.93493206858919e-192
"sim_g102",1.21607629272105e-192,1.34827034117066e-190
"sim_g016",2.78567801487192e-179,2.9169131076967e-177
"sim_g116",1.91422768123737e-176,1.89891301761781e-174
"sim_g142",4.27867388158285e-175,4.03222047771022e-173
"sim_g134",2.34666225414936e-174,2.1061843119152e-172
"sim_g109",4.20378598317274e-172,3.60149650322573e-170
"sim_g130",1.00376565525581e-165,8.22563768681852e-164
"sim_g010",1.13692762816948e-165,8.92866768001871e-164
"sim_g122",8.07880309339268e-158,6.09076852690921e-156
"sim_g076",1.12124452441122e-156,8.12815670134843e-155
"sim_g004",1.43213114774326e-155,9.99733181530941e-154
"sim_g075",1.02991878958462e-143,6.93282169174831e-142
"sim_g112",8.48341532857803e-143,5.51363245514859e-141
"sim_g113",5.12385451301017e-142,3.21914556767986e-140
"sim_g049",1.19035868985905e-139,7.23737762455944e-138
"sim_g048",1.40295006327143e-134,8.26337220785562e-133
"sim_g080",1.85869963537363e-134,1.06159864213525e-132
"sim_g094",1.84531401030671e-131,1.02295479532629e-129
"sim_g086",5.03495218574821e-131,2.71139247740874e-129
"sim_g025",9.77056682666976e-131,5.11543227433089e-129
"sim_g140",3.44353689368324e-127,1.7541555293856e-125
"sim_g033",3.89962722208463e-124,1.93421424432819e-122
"sim_g053",3.83812140908836e-123,1.85489436500643e-121
"sim_g117",7.32601243824957e-122,3.45201552993116e-120
"sim_g095",2.03329954343707e-121,9.34722263369384e-120
"sim_g138",2.00444881972768e-119,8.99519871400863e-118
"sim_g147",1.55575436437297e-118,6.81926633837051e-117
"sim_g040",7.74839163862257e-118,3.31912774625377e-116
"sim_g038",9.88891932102125e-116,4.14191708222507e-114
"sim_g069",1.15389944725378e-112,4.72797546440797e-111
"sim_g002",4.47021633438546e-111,1.79265106603202e-109
"sim_g137",1.06430785664039e-106,4.17918033027096e-105
"sim_g077",1.29903778799315e-106,4.99678640189924e-105
"sim_g065",3.93272634382311e-104,1.48247986508639e-102
"sim_g054",1.53442778111983e-102,5.67076117492334e-101
"sim_g100",4.16300825904839e-100,1.50892970899107e-98
"sim_g119",4.81598777503502e-99,1.71267353446282e-97
"sim_g092",2.27529355264037e-95,7.94161367791777e-94
"sim_g149",5.37781169788958e-92,1.84292636232998e-90
"sim_g141",8.42061187575847e-92,2.83413611152761e-90
"sim_g082",1.79762679075044e-90,5.94414995184554e-89
"sim_g123",6.00297045742598e-90,1.95075753451941e-88
"sim_g015",9.17870114417095e-88,2.93220478711254e-86
"sim_g139",1.9404812561583e-79,6.09569574923197e-78
"sim_g023",1.27283134617526e-77,3.9328384545877e-76
"sim_g046",5.74574529445753e-77,1.74670579484948e-75
"sim_g101",1.25174988221957e-75,3.74491608199525e-74
"sim_g084",2.29195144104897e-75,6.7497940003494e-74
"sim_g136",7.39929665239572e-75,2.14556740696743e-73
"sim_g005",3.20439063347305e-74,9.15095876876873e-73
"sim_g024",2.21291784445555e-70,6.22523239317812e-69
"sim_g068",2.76792417302563e-70,7.67203112879823e-69
"sim_g091",4.27355097515613e-70,1.16736018922748e-68
"sim_g103",7.14126692215907e-68,1.92283627506113e-66
"sim_g037",2.78865244456731e-65,7.4028870372642e-64
"sim_g060",2.02360826747286e-64,5.29735440413632e-63
"sim_g120",4.69576197143181e-64,1.21240660801638e-62
"sim_g039",1.74985011442239e-62,4.45691355803494e-61
"sim_g034",6.69100612670171e-62,1.68149370060366e-60
"sim_g083",1.38486985956876e-59,3.43447572853741e-58
"sim_g126",2.0583158216643e-59,5.03832719494259e-58
"sim_g011",2.05123317998391e-56,4.95661869613722e-55
"sim_g124",2.34471021151656e-54,5.59406056544221e-53
"sim_g051",2.56179510682382e-54,6.03558659488876e-53
"sim_g127",8.58214631430968e-54,1.99699039497626e-52
"sim_g096",1.0678932263329e-48,2.45459056137739e-47
"sim_g031",3.19673380320599e-47,7.25927855433786e-46
"sim_g008",3.58994710064265e-46,8.05515392192626e-45
"sim_g121",1.38207082725743e-45,3.06461875285621e-44
"sim_g030",3.88793242895281e-45,8.52089743270708e-44
"sim_g108",6.54241932261809e-44,1.41737315751677e-42
"sim_g131",7.19598301655899e-44,1.54124804254718e-42
"sim_g143",1.25245425180367e-43,2.65238733355093e-42
"sim_g088",1.38739879570407e-42,2.905520100447e-41
"sim_g087",1.25074296427694e-41,2.59054867424224e-40
"sim_g099",4.38701164312261e-40,8.98764769327167e-39
"sim_g089",1.10625035832663e-38,2.2419997318797e-37
"sim_g066",1.68537153438643e-33,3.37934772254508e-32
"sim_g135",3.16970729015065e-32,6.28869647461627e-31
"sim_g114",4.55262293985203e-32,8.93831240775977e-31
"sim_g074",2.14815919825897e-31,4.17407078475302e-30
"sim_g052",2.94426510445689e-31,5.66260041606047e-30
"sim_g007",3.96571529558633e-30,7.55007765064592e-29
"sim_g014",2.43962258220271e-28,4.59819860363039e-27
"sim_g133",2.12294213813008e-27,3.96170254193929e-26
"sim_g128",7.34323282477829e-27,1.35691363626071e-25
"sim_g055",7.71790582634436e-27,1.41230120873962e-25
"sim_g144",1.60951180241269e-25,2.91692932671172e-24
"sim_g019",1.33926755769741e-20,2.40404797451499e-19
"sim_g017",6.28789473957974e-20,1.1180583725514e-18
"sim_g006",1.49918655476671e-19,2.64080893947573e-18
"sim_g013",6.46024219939443e-17,1.12743139789228e-15
"sim_g063",1.33667852428291e-16,2.31134914240851e-15
"sim_g146",7.7715611723761e-16,1.33162109103342e-14
"sim_g129",1.18793863634892e-14,2.01714031421665e-13
"sim_g058",9.83657599817889e-14,1.65535448382802e-12
"sim_g073",2.38919994899334e-13,3.98509917407624e-12
"sim_g104",5.45319345235384e-12,9.01594250931296e-11
"sim_g009",6.89270862608282e-12,1.1296844745005e-10
"sim_g111",8.00037813775134e-12,1.29992293331349e-10
"sim_g028",1.36382016791003e-11,2.19703172003907e-10
"sim_g110",3.78681530577296e-11,6.04863247701994e-10
"sim_g191",5.58142421169805e-11,8.84022158709188e-10
"sim_g208",1.01815333941602e-10,1.59917880253883e-09
"sim_g047",1.57594270966399e-10,2.45482272878362e-09
"sim_g044",3.32358141008626e-10,5.13465857665177e-09
"sim_g071",6.49837739175041e-10,9.9578343706598e-09
"sim_g151",8.93551677094706e-10,1.35819794682192e-08
"sim_g050",1.30707522583151e-09,1.97085943443983e-08
"sim_g201",1.39835587553705e-09,2.09176189310505e-08
"sim_g022",1.76315850808351e-09,2.61669266314465e-08
"sim_g003",2.33665597981769e-09,3.44072440431714e-08
"sim_g196",2.89579260570605e-09,4.23099804853669e-08
"sim_g036",3.43271389091626e-09,4.97690482473738e-08
"sim_g166",4.08930933559759e-09,5.88360825758715e-08
"sim_g115",5.45740552748697e-09,7.79251013356573e-08
