"","combinedPval","adjustedPval"
"sim_g113",3.68591263642628e-24,6.94720505604448e-21
"sim_g000",3.53563467691709e-23,3.33198064179021e-20
"sim_g118",1.21688005095568e-21,7.64524834279627e-19
"sim_g063",4.44429996629668e-21,2.09415321536013e-18
"sim_g062",1.87115358569293e-20,7.05349742839553e-18
"sim_g001",6.4430413507789e-19,2.02397315869074e-16
"sim_g013",8.14224514680209e-19,2.19235669235817e-16
"sim_g004",2.13914609608222e-18,5.0398259672023e-16
"sim_g035",1.39185718419545e-16,2.91485695256004e-14
"sim_g092",3.0554458646167e-16,5.75890181155135e-14
"sim_g100",4.44089209850063e-16,7.60926337733382e-14
"sim_g039",8.88178419700125e-16,1.39503161917787e-13
"sim_g102",7.24975635080227e-14,9.76023907846229e-12
"sim_g106",7.00550728538474e-14,9.76023907846229e-12
"sim_g140",1.45610190571688e-11,1.82963976981654e-09
"sim_g088",3.98980848359543e-11,4.69999230922453e-09
"sim_g034",1.06008535283308e-10,1.1753223452257e-08
"sim_g008",1.26358223884182e-09,1.32311041529325e-07
"sim_g131",3.01276048553234e-09,2.98865707617594e-07
"sim_g046",1.89455124921523e-08,1.78542430542312e-06
"sim_g094",5.36651594273962e-08,4.8165736966431e-06
"sim_g134",4.16884086362757e-07,3.57155807954038e-05
"sim_g122",4.44840110969125e-07,3.64536638829671e-05
"sim_g066",5.35509266597067e-07,4.20553090851884e-05
"sim_g042",9.20474895860224e-07,6.93964125713217e-05
"sim_g025",1.24640636434137e-06,9.03548336010339e-05
"sim_g045",3.13156011211291e-06,0.000218605995615094
"sim_g064",1.95293704521315e-05,0.00131460503940638
"sim_g142",2.0976990466326e-05,0.00136335910676041
"sim_g053",2.19188291068484e-05,0.00137708635928054
"sim_g136",3.80673989780478e-05,0.00231449683138385
"sim_g116",4.66479465890401e-05,0.00274756283554784
"sim_g002",0.000122644075810419,0.00700483186569846
"sim_g024",0.000146495520635392,0.007888989566757
"sim_g111",0.000145895594890533,0.007888989566757
"sim_g055",0.00027872938816631,0.0145930254950871
"sim_g011",0.000608819203157251,0.0310135655457469
"sim_g040",0.000841155684559114,0.0406515264391396
"sim_g103",0.000830069565306846,0.0406515264391396
"sim_g069",0.001069005122736,0.0491429258961117
"sim_g077",0.00106090247439694,0.0491429258961117
"sim_g005",0.00111923721447305,0.0502270801489774
"sim_g058",0.001447867749367,0.0634637191562694
"sim_g209",0.00257983917258642,0.110510879908571
"sim_g076",0.00358717052022139,0.146980347781762
"sim_g203",0.0035844472944434,0.146980347781762
"sim_g096",0.00388364164686839,0.155742224034938
"sim_g065",0.00440455637560155,0.172952170310842
"sim_g078",0.00455294289597608,0.175130264581317
"sim_g016",0.00481096156351557,0.181353926667651
"sim_g093",0.006488407589051,0.239791082355247
"sim_g071",0.0101266745911897,0.367052842393927
"sim_g095",0.0126303645848923,0.447609375101452
"sim_g133",0.0128241282763675,0.447609375101452
"sim_g109",0.0142538368383119,0.488465813780427
"sim_g147",0.0154671427136335,0.52057960102705
"sim_g081",0.0163885813681449,0.541915516899966
"sim_g112",0.0176826048965815,0.574623429793239
"sim_g029",0.0239641041337875,0.765551244737708
"sim_g256",0.0245068781252309,0.76984239008145
"sim_g199",0.0251250704225598,0.775323429365439
"sim_g218",0.0259154274793036,0.775323429365439
"sim_g283",0.0257277279107719,0.775323429365439
"sim_g060",0.0278411894122854,0.813714111142685
"sim_g098",0.0280620971358586,0.813714111142685
"sim_g099",0.0290402982715432,0.829320150107948
"sim_g143",0.0303160160783775,0.852829877060603
"sim_g038",0.0326800089941292,0.905812553449756
"sim_g003",0.788556430052412,1
"sim_g006",0.145882991452059,1
"sim_g007",0.970501650801621,1
"sim_g009",0.471645260001806,1
"sim_g010",0.0909592897546602,1
"sim_g012",0.933821850224671,1
"sim_g014",0.199570809826318,1
"sim_g015",0.124612413077664,1
"sim_g017",0.532058339012427,1
"sim_g018",0.0376748864072607,1
"sim_g019",0.0452267821977352,1
"sim_g020",0.455153679718254,1
"sim_g021",0.95665326256883,1
"sim_g022",0.383244848457384,1
"sim_g023",0.170622842638386,1
"sim_g026",0.847097091818236,1
"sim_g027",0.0512636329039254,1
"sim_g028",0.957344359229501,1
"sim_g030",0.760079185129196,1
"sim_g031",0.247944378793402,1
"sim_g032",0.0570201773282306,1
"sim_g033",0.176194510078445,1
"sim_g036",0.654118934314218,1
"sim_g037",0.719983851719514,1
"sim_g041",0.325303108998146,1
"sim_g043",0.0399681142908769,1
