"","combinedPval","adjustedPval"
"sim_g000",5.76705610848573e-127,1.08697425325332e-123
"sim_g076",1.06128027300155e-113,1.00015008570919e-110
"sim_g026",7.08531161501692e-103,4.45146313643334e-100
"sim_g049",1.0577297081018e-97,4.9840201741582e-95
"sim_g045",1.8722928563001e-94,7.05779202097166e-92
"sim_g106",2.93727036408372e-90,9.22694121155148e-88
"sim_g040",3.6702095634857e-78,9.88229702470345e-76
"sim_g006",4.69693007514757e-73,1.10659623492833e-70
"sim_g001",2.9840844455854e-72,6.24933318734766e-70
"sim_g100",3.53429473975077e-70,6.6614357711294e-68
"sim_g121",1.15261517860414e-64,1.97495284104579e-62
"sim_g013",1.56093089337979e-57,2.4517010358702e-55
"sim_g118",5.29005138494933e-57,7.66975725257297e-55
"sim_g016",3.9998155669823e-56,5.38489216940129e-54
"sim_g024",5.42832709056639e-56,6.82087090847055e-54
"sim_g134",5.01035350040645e-52,5.90219380585046e-50
"sim_g093",7.21389190388177e-52,7.99808084133582e-50
"sim_g128",2.97194848655021e-49,3.11195890175996e-47
"sim_g034",9.30464469373888e-49,9.23020344258532e-47
"sim_g127",2.85802268798326e-47,2.69339938663034e-45
"sim_g069",2.56138302571292e-44,2.29341425527812e-42
"sim_g133",2.67694906584293e-44,2.29341425527812e-42
"sim_g011",2.05387633055219e-43,1.68310625694291e-41
"sim_g147",1.45774630687947e-42,1.14481625860896e-40
"sim_g032",2.6539721377092e-40,2.00088178666882e-38
"sim_g132",3.98803059106741e-39,2.89101412477254e-37
"sim_g035",5.3525687631043e-38,3.73648782608608e-36
"sim_g135",5.99248288340124e-37,4.0337952605205e-35
"sim_g008",1.62903049732494e-35,1.05875700677066e-33
"sim_g087",3.6828917289444e-35,2.31383708404928e-33
"sim_g142",5.85472133998564e-35,3.55966899599482e-33
"sim_g004",9.83665445295358e-35,5.79378690323988e-33
"sim_g116",3.06083472688413e-34,1.74819961656012e-32
"sim_g042",1.9212838405367e-33,1.06506887547733e-31
"sim_g063",3.79330241500136e-33,2.04274663455274e-31
"sim_g025",5.80837246819456e-33,3.041004325771e-31
"sim_g119",8.16946844525909e-33,4.16156953964399e-31
"sim_g018",1.69590928120923e-32,8.41170630419833e-31
"sim_g102",4.23766740350614e-32,2.04798768713312e-30
"sim_g091",1.04957243642828e-29,4.94558312707944e-28
"sim_g122",1.62795462654139e-28,7.48382321775957e-27
"sim_g137",6.4355574529592e-28,2.88803173994993e-26
"sim_g141",1.99696961666121e-27,8.75322480045551e-26
"sim_g002",1.38985660161599e-26,5.95363763847857e-25
"sim_g073",2.56013582963684e-26,1.07229819370133e-24
"sim_g094",4.3934516714255e-25,1.80016826908085e-23
"sim_g066",6.0042323813976e-25,2.40782386669349e-23
"sim_g092",4.80946087736408e-22,1.88851413362055e-20
"sim_g064",3.10382718530488e-21,1.19389609884531e-19
"sim_g113",6.0961360236142e-21,2.29799841629721e-19
"sim_g096",9.97749892608316e-21,3.68736894815469e-19
"sim_g015",1.42458654767662e-20,5.16357602737412e-19
"sim_g077",3.89649831071666e-20,1.38568240734269e-18
"sim_g058",6.05329118403672e-19,2.11282188216016e-17
"sim_g125",2.27252170980369e-18,7.78772185275279e-17
"sim_g046",2.81051098158824e-18,9.45937276564798e-17
"sim_g136",3.66970808934323e-18,1.21344960337682e-16
"sim_g097",9.78639125121537e-18,3.18023828443913e-16
"sim_g131",2.9360915591311e-17,9.37956426498571e-16
"sim_g038",1.77635683940025e-15,5.58012647671147e-14
"sim_g139",4.10782519111308e-15,1.2692500797438e-13
"sim_g084",2.37587727269783e-14,7.22266370574347e-13
"sim_g053",3.43058914609173e-14,1.02634469125229e-12
"sim_g095",3.5527136788005e-14,1.0462737143834e-12
"sim_g037",6.81676937119846e-14,1.97665249425049e-12
"sim_g109",4.30100399739786e-13,1.22826193015797e-11
"sim_g140",2.1422863483167e-12,6.02653659484839e-11
"sim_g149",2.770783602557e-12,7.67995679113721e-11
"sim_g103",5.34838839882923e-12,1.46096202657119e-10
"sim_g090",1.09072750831274e-11,2.93686042273951e-10
"sim_g120",2.11590744925161e-11,5.61698674879003e-10
"sim_g082",8.54389892168683e-11,2.23660188134216e-09
"sim_g062",1.19853016400384e-10,3.09450500171358e-09
"sim_g052",1.8255108535925e-10,4.64962342011906e-09
"sim_g005",5.43405875852443e-10,1.36561458742426e-08
"sim_g112",6.41840469661759e-10,1.59176365881253e-08
"sim_g101",1.15268994349549e-09,2.82154421033126e-08
"sim_g099",1.68777125608699e-09,4.07834596493287e-08
"sim_g030",2.89403412345735e-09,6.90464948954419e-08
"sim_g031",5.77398662215955e-09,1.36035064486404e-07
"sim_g065",8.56282644789985e-09,1.99249483101828e-07
"sim_g007",3.57121636707092e-08,8.20856783346251e-07
"sim_g088",5.46622516139905e-08,1.24129356806408e-06
"sim_g117",6.49443203659672e-08,1.45722619926379e-06
"sim_g060",1.07103282909193e-07,2.3749197423356e-06
"sim_g051",1.79632316132938e-07,3.93687022431263e-06
"sim_g039",2.18545299301987e-07,4.73464364873736e-06
"sim_g081",2.58861837965085e-07,5.54434745240176e-06
"sim_g123",1.23940443974568e-06,2.62475106966507e-05
"sim_g144",3.88760911917974e-06,8.14151379793116e-05
"sim_g055",4.53994155724669e-06,9.40316269463223e-05
"sim_g089",2.05069985983464e-05,0.000420125802349511
"sim_g114",2.47981500027805e-05,0.000502575617163607
"sim_g124",3.52956895812717e-05,0.000707715810837827
"sim_g017",3.62595332203952e-05,0.000719388820043043
"sim_g054",6.17143785537344e-05,0.00121165842823337
"sim_g021",0.000363924969355778,0.00707139668075458
"sim_g003",0.000465026769779331,0.00894369456081108
"sim_g108",0.00063815197339756,0.0121493768285052
"sim_g083",0.000723568301290056,0.0136378092943341
"sim_g130",0.000856517718055616,0.01598380078237
"sim_g048",0.000881643540218691,0.0162913824277393
"sim_g033",0.001176570428292,0.0215300869877437
"sim_g244",0.00136276306829664,0.0246974489613271
"sim_g143",0.00148142093445935,0.0265921994184209
"sim_g009",0.0015195278098481,0.0270189126963488
"sim_g019",0.00160327871738397,0.0282416671619473
"sim_g266",0.00180464797265256,0.0314944350956666
"sim_g075",0.00211397372468647,0.0365542743963024
"sim_g027",0.00284412866665296,0.0487328303042861
"sim_g098",0.003124871390359,0.0525870980753297
"sim_g248",0.00309771615443677,0.0525870980753297
"sim_g110",0.00415897141298704,0.0693701402006333
"sim_g151",0.0055383233440196,0.0915669053444513
"sim_g260",0.0057562529980224,0.0943424420779333
"sim_g284",0.0111809846335458,0.181671642163867
"sim_g277",0.0129082525886282,0.207944134093222
"sim_g078",0.0147592461119942,0.235747582495619
"sim_g210",0.0150756765085639,0.238778340180086
"sim_g253",0.0181862063874312,0.285644554974965
"sim_g219",0.0188653825182952,0.293863282650562
"sim_g068",0.0190437395153169,0.294210035406673
"sim_g023",0.020856554824859,0.314483336797508
"sim_g057",0.0207781798755596,0.314483336797508
"sim_g146",0.0205334253115619,0.314483336797508
"sim_g236",0.025409560164217,0.380094585376246
"sim_g061",0.0279909546637056,0.415412031119915
"sim_g138",0.0345116764473006,0.50818421030634
"sim_g160",0.0417479253762016,0.609972518229072
"sim_g111",0.0435419386023022,0.631290842157467
"sim_g250",0.0475505533269076,0.684146894370728
"sim_g044",0.0514857346281898,0.735153557498213
"sim_g145",0.0542392771524103,0.768647701035343
"sim_g104",0.0575749425759097,0.80982987790743
"sim_g264",0.063512293641026,0.88672531825211
"sim_g234",0.0644889948139139,0.893741202340144
"sim_g231",0.0723097178154366,0.994812377329255
"sim_g010",0.203853214410761,1
"sim_g012",0.512659732654835,1
"sim_g014",0.505498376197131,1
"sim_g020",0.839203072961485,1
"sim_g022",0.261068995504922,1
"sim_g028",0.217562473515531,1
"sim_g029",0.496014003794492,1
"sim_g036",0.581471746439459,1
"sim_g041",0.305182039691714,1
"sim_g043",0.169026344000852,1
"sim_g047",0.403177676876356,1
