"","combinedPval","adjustedPval"
"sim_g000",5.76705610848573e-127,1.08697425325332e-123
"sim_g076",1.06128027300155e-113,1.00015008570919e-110
"sim_g026",7.08531161501692e-103,4.45146313643334e-100
"sim_g049",1.0577297081018e-97,4.9840201741582e-95
"sim_g045",1.8722928563001e-94,7.05779202097166e-92
"sim_g106",2.93727036408372e-90,9.22694121155148e-88
"sim_g040",3.6702095634857e-78,9.88229702470345e-76
"sim_g006",4.69693007514757e-73,1.10659623492833e-70
"sim_g001",2.9840844455854e-72,6.24933318734766e-70
"sim_g100",3.53429473975077e-70,6.6614357711294e-68
