,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g062,0.7070836772012168,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,8.045451026154584e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g140,0.6827644016214658,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.237384639404248e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g102,0.647243661595136,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.997936749482154e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g122,0.6436905669405834,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.5412783995571e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g134,0.6403966641214355,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.667516126521709e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g004,0.6367650759046495,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.05879456086342e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g106,0.6366176943172768,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.720999675774907e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g000,0.6161810035408212,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.726294015841849e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g045,0.6017910091446073,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.585218300324496e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g001,0.5974674552697309,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.076695154109944e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g034,0.5731971325434929,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.996583016691442e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g035,0.567080875727159,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.0234468335162975e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g064,0.5664367043818377,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.302725896587415e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g076,0.5642991898708871,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.102165625245242e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g018,0.5609807387019231,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.012974581123468e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g081,0.5469021937406293,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.705989012073201e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g032,0.545504498244296,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.965691241648296e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g118,0.5301120565256249,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.7105808678809466e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g094,0.5276118668399522,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.013336226806886e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g049,0.5224087978762222,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.662441676737725e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
sim_g046,0.5168530139967081,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.436132141353e-05,0.0,0.0,0.0011059051649457553,1,hotspot,moran
