,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g062,0.81267190445951,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.486620455548077e-05,0.0,0.0,0.003892211684419477,1,hotspot,geary
sim_g100,0.8130650445739235,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.1693704963218088e-05,0.0,0.0,0.003892211684419477,1,hotspot,geary
sim_g122,0.8243953991803029,0.0,1.3395159586304278e-05,1.0537635144562404e-270,0.000999000999000999,2.5893674408726324e-05,0.0,7.903226358421802e-269,0.003892211684419477,1,hotspot,geary
sim_g004,0.8332196715694172,0.0,1.3395159586304278e-05,9.858574033462421e-278,0.000999000999000999,2.0853271950320487e-05,0.0,9.85857403346242e-276,0.003892211684419477,1,hotspot,geary
sim_g113,0.8429669164347866,0.0,1.3395159586304278e-05,1.6260535410536018e-244,0.000999000999000999,2.1903671774340945e-05,0.0,9.756321246321611e-243,0.003892211684419477,1,hotspot,geary
sim_g039,0.8620294222200364,0.0,1.3395159586304278e-05,4.513370753133551e-211,0.000999000999000999,1.8943450041539335e-05,0.0,2.2566853765667755e-209,0.003892211684419477,1,hotspot,geary
sim_g118,0.8701679179086698,6.22556839906524e-276,1.3395159586304278e-05,1.623855049386962e-193,0.000999000999000999,1.8819336726126915e-05,2.6681007424565313e-274,6.95937878308698e-192,0.003892211684419477,1,hotspot,geary
sim_g063,0.8740515047038456,8.134939045324923e-260,1.3395159586304278e-05,5.934562293971685e-174,0.000999000999000999,1.9505033188372457e-05,3.0506021419968457e-258,2.2254608602393816e-172,0.003892211684419477,1,hotspot,geary
sim_g092,0.8979227047908134,1.7428270407286623e-171,1.3395159586304278e-05,5.032586094799188e-128,0.000999000999000999,1.7815611972630033e-05,5.809423469095541e-170,1.3725234803997786e-126,0.003892211684419477,1,hotspot,geary
sim_g136,0.9009553405008959,1.3861492495498473e-161,1.3395159586304278e-05,6.82208156154258e-142,0.000999000999000999,1.5261861152372036e-05,4.158447748649542e-160,2.27402718718086e-140,0.003892211684419477,1,hotspot,geary
sim_g094,0.9087185115164125,1.3467226325047315e-137,1.3395159586304278e-05,1.8607616187872854e-128,0.000999000999000999,1.3928597514466304e-05,3.672879906831086e-136,5.582284856361856e-127,0.003892211684419477,1,hotspot,geary
sim_g013,0.9120055602979992,4.989281516399164e-128,1.3395159586304278e-05,3.2405394896172404e-122,0.000999000999000999,1.5461017761378014e-05,1.247320379099791e-126,8.1013487240431e-121,0.003892211684419477,1,hotspot,geary
sim_g034,0.9127670652668621,7.326932913806131e-126,1.3395159586304278e-05,3.549221568499216e-103,0.000999000999000999,1.4437213386524095e-05,1.6908306724167994e-124,7.605474789641178e-102,0.003892211684419477,1,hotspot,geary
sim_g102,0.9163287704886414,5.632299785583143e-116,1.3395159586304278e-05,1.5007863798824518e-109,0.000999000999000999,1.429533256057978e-05,1.2069213826249592e-114,3.46335318434412e-108,0.003892211684419477,1,hotspot,geary
sim_g000,0.9281581014613486,4.3488877756779914e-86,1.3395159586304278e-05,1.883731288109936e-77,0.000999000999000999,1.6371767151261678e-05,8.697775551355982e-85,3.767462576219872e-76,0.003892211684419477,1,hotspot,geary
sim_g001,0.9353038829837657,3.16297239967971e-70,1.3395159586304278e-05,5.591692619307647e-65,0.000999000999000999,1.428124435282219e-05,5.930573249399456e-69,9.86769285760173e-64,0.003892211684419477,1,hotspot,geary
sim_g066,0.9398709552692711,5.93278369698267e-61,1.3395159586304278e-05,8.471476697097708e-68,0.000999000999000999,1.3694201316712454e-05,1.0469618288792947e-59,1.5884018807058202e-66,0.003892211684419477,1,hotspot,geary
sim_g131,0.9412632146079778,2.9250130707220407e-58,1.3395159586304278e-05,5.415642001668874e-58,0.000999000999000999,1.2417724114941856e-05,4.875021784536735e-57,9.026070002781457e-57,0.003892211684419477,1,hotspot,geary
sim_g134,0.9456963665674206,4.203472901691718e-50,1.3395159586304278e-05,4.054741287201778e-57,0.000999000999000999,1.2324515958957453e-05,6.637062476355344e-49,6.402223085055438e-56,0.003892211684419477,1,hotspot,geary
sim_g088,0.9505323769794878,6.294597593932911e-42,1.3395159586304278e-05,1.5924322064239806e-45,0.000999000999000999,1.116262712268034e-05,9.441896390899367e-41,2.388648309635971e-44,0.003892211684419477,1,hotspot,geary
sim_g008,0.9523015959819703,3.993824886714383e-39,1.3395159586304278e-05,1.701372403505211e-44,0.000999000999000999,1.1578264449097359e-05,5.70546412387769e-38,2.320053277507106e-43,0.003892211684419477,1,hotspot,geary
sim_g035,0.9553483602565097,1.5521718380956793e-34,1.3395159586304278e-05,3.186218194776528e-45,0.000999000999000999,1.2016853078038558e-05,2.1165979610395627e-33,4.551740278252182e-44,0.003892211684419477,1,hotspot,geary
sim_g024,0.956603842829315,9.888955096691873e-33,1.3395159586304278e-05,1.4484660414265e-34,0.000999000999000999,1.0490037281770376e-05,1.2898637082641575e-31,1.889303532295435e-33,0.003892211684419477,1,hotspot,geary
sim_g106,0.9637127286842267,1.796347951813798e-23,1.3395159586304278e-05,1.5631618937752712e-28,0.000999000999000999,1.205656527601595e-05,2.2454349397672476e-22,1.8757942725303257e-27,0.003892211684419477,1,hotspot,geary
sim_g046,0.9663469964236152,1.875655440403689e-20,1.3395159586304278e-05,3.002142716410945e-27,0.000999000999000999,1.0560736917652182e-05,2.250786528484427e-19,3.464010826628013e-26,0.003892211684419477,1,hotspot,geary
sim_g016,0.9675646536797031,3.920347570778496e-19,1.3395159586304278e-05,1.6725124531489326e-24,0.000999000999000999,9.694997369269524e-06,4.52347796628288e-18,1.7919776283738564e-23,0.003892211684419477,1,hotspot,geary
sim_g055,0.9682211736008106,1.9293200066780763e-18,1.3395159586304278e-05,1.1598591847595178e-21,0.000999000999000999,9.299843912037479e-06,2.1436888963089735e-17,1.1998543290615701e-20,0.003892211684419477,1,gp,geary
sim_g002,0.9683443789292563,2.592653940386132e-18,1.3395159586304278e-05,4.428533082220382e-29,0.000999000999000999,9.015668119371396e-06,2.77784350755657e-17,5.535666352775477e-28,0.003892211684419477,1,gp,geary
sim_g022,0.9688200405755825,8.02917097109092e-18,1.3395159586304278e-05,2.619589202789855e-25,0.000999000999000999,9.922613324308117e-06,8.306038935611297e-17,2.9106546697665055e-24,0.003892211684419477,1,stripes,geary
sim_g087,0.9740729925885527,7.002683370427746e-13,1.3395159586304278e-05,1.5631208800248026e-14,0.000999000999000999,9.912428660759265e-06,7.002683370427745e-12,1.4210189818407297e-13,0.003892211684419477,1,gp,geary
sim_g014,0.9768525482778286,1.2699046720535132e-10,1.3395159586304278e-05,1.278414629468389e-10,0.000999000999000999,8.984033192328158e-06,1.2289400052130772e-09,9.13153306763135e-10,0.003892211684419477,1,stripes,geary
sim_g139,0.9769872735120011,1.6106708717509816e-10,1.3395159586304278e-05,3.7493133414085584e-16,0.000999000999000999,8.615212982955218e-06,1.5100039422665451e-09,3.749313341408558e-15,0.003892211684419477,1,gp,geary
sim_g044,0.9771081767733969,1.99141236284595e-10,1.3395159586304278e-05,4.942094693473995e-15,0.000999000999000999,8.423063265343306e-06,1.8103748753145e-09,4.6332137751318696e-14,0.003892211684419477,1,stripes,geary
sim_g096,0.9776895958442589,5.443245357073801e-10,1.3395159586304278e-05,7.978315364526264e-16,0.000999000999000999,9.141250846738605e-06,4.802863550359237e-09,7.720950352767353e-15,0.003892211684419477,1,gp,geary
sim_g053,0.9777470183818102,6.003524455011696e-10,1.3395159586304278e-05,7.844522709914829e-13,0.000999000999000999,9.373710032076903e-06,5.145878104295739e-09,6.423487627894585e-12,0.003892211684419477,1,hotspot,geary
sim_g077,0.9779240771966937,8.108571280654457e-10,1.3395159586304278e-05,1.6197907577232843e-13,0.000999000999000999,9.246801827753114e-06,6.7571427338787145e-09,1.3883920780485294e-12,0.003892211684419477,1,hotspot,geary
sim_g064,0.97874080643641,3.149525334071813e-09,1.3395159586304278e-05,5.5726728471255546e-12,0.000999000999000999,9.95482021020151e-06,2.5536691897879567e-08,4.077565497896747e-11,0.003892211684419477,1,hotspot,geary
sim_g017,0.9789680557673867,4.5547459961630725e-09,1.3395159586304278e-05,9.42724379518946e-13,0.000999000999000999,8.57632263191376e-06,3.5958521022340045e-08,7.442560890939046e-12,0.003892211684419477,1,gp,geary
sim_g069,0.9793397818583951,8.260928066948006e-09,1.3395159586304278e-05,8.401361422002386e-14,0.000999000999000999,9.103916341902147e-06,6.354560051498466e-08,7.412965960590341e-13,0.003892211684419477,1,hotspot,geary
sim_g060,0.9798382587390507,1.8068198406180443e-08,1.3395159586304278e-05,1.9385850149747367e-12,0.000999000999000999,8.748307143704731e-06,1.3551148804635332e-07,1.491219242288259e-11,0.003892211684419477,1,gp,geary
sim_g109,0.9803197255919048,3.78239250830773e-08,1.3395159586304278e-05,7.922301407736655e-13,0.000999000999000999,9.576967650994515e-06,2.7676042743715096e-07,6.423487627894585e-12,0.003892211684419477,1,gp,geary
sim_g073,0.9809190580721956,9.267634804451167e-08,1.3395159586304278e-05,1.114233910057038e-07,0.000999000999000999,8.372583805903225e-06,6.619739146036548e-07,6.554317117982576e-07,0.003892211684419477,1,stripes,geary
sim_g047,0.9813592158344255,1.7604040800989033e-07,1.3395159586304278e-05,2.4015548327137556e-12,0.000999000999000999,8.838656405939093e-06,1.228188893092258e-06,1.8011661245353166e-11,0.003892211684419477,1,stripes,geary
