,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g062,0.19071339546433785,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.518936039976189e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g100,0.18604448697837822,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.376440420413314e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g122,0.1790624975516541,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.221234807284967e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g004,0.16239654524422667,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.447743284330603e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g113,0.15631234506759187,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.2177351606351244e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g039,0.1348314348100205,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.8483638175429208e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g118,0.1286506211863432,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.8243758528455726e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g063,0.12413108313220346,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.9131365024367436e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g092,0.10150946021659793,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.5970210222761885e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g136,0.09909474643075641,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4793693629241284e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g013,0.0923114453377504,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.526438951373142e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g094,0.08989805606814322,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4820463055174471e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g102,0.08396839583522435,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.548244360650376e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g034,0.08187609132342968,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4015626109966e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g000,0.07514816024451987,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.5112979213187466e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g001,0.06410299281945123,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2196761124334064e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g066,0.06410015539546153,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1785781074989634e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g131,0.05632710057735597,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1672588130931501e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g134,0.05575504886996136,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2938208071994195e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
