,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g049,0.5368267145870746,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.229110709142548e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g034,0.6113987554720804,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,4.1849740624056406e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g045,0.6536527240650227,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.820219826284417e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g106,0.6683184683413642,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,4.194417731850238e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g004,0.6693620581628305,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.809134706422756e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g091,0.6812241144709154,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.472417826249979e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g100,0.6818136432822568,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.6238429907246874e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g001,0.6908746081698623,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.638010631685577e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g000,0.7034023541511167,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.4785827993397424e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g122,0.7220551722318498,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.827848869367043e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g018,0.7277535099431401,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.179398001057316e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g011,0.7293257806554462,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.2018862392133336e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g076,0.7294231612734741,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.215431933328023e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g016,0.7456449087277915,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.1510891403723007e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g134,0.7521201861151274,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.100969885747922e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g077,0.7737520586861308,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.9115754182054978e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
