,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g049,0.46082239283170684,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,4.931250717190299e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g034,0.39276862491957476,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,4.045970676377248e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g045,0.34480353515531453,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,4.068072689073674e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g106,0.3340236489374969,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.9429810116570145e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g004,0.3254062025988368,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.826605438565435e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g091,0.3190333636991157,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.4019042067316895e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g100,0.31873687490321373,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.680002418994226e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g001,0.3065944977666362,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.709469098946184e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g000,0.2960407227771617,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.3926437628947946e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g122,0.2761629172014881,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.193332978911468e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g076,0.2712803640557026,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.420569751134953e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g011,0.2710429218169451,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.1663533526090594e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g018,0.27055339725876587,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.010892800243689e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g016,0.2543102598839332,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.0125912901889737e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g134,0.2480682544368915,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,3.199448020734606e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g077,0.22491292136424726,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.789086169758197e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g066,0.21697828275236383,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.7654778973809447e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g013,0.20213927990315408,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.576467963689786e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g147,0.2008358535100633,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.698191702867e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g032,0.19536989104159236,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.777916773783094e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g102,0.19430292485838288,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.379724092794344e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g042,0.19242520101123486,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.425599886179735e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g121,0.19226492081612065,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.4095809821262192e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g118,0.19092073792177833,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.72603639688015e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g046,0.1897759421232189,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.508205318150305e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g040,0.18562465143346177,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.4663628185245284e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g131,0.16993568709758033,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.2528193558507633e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g141,0.15981643497349904,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.09621567829727e-05,0.0,0.0,0.002038777548981631,1,gp,moran
