g,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,is_svg
sim_g151,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-16264.062316126687,-2.6760121964429344,8.91360220745758,SE,9560,158.48980322094144,55691399552.90052,0.0014340877532958984,32564.786004277554,-16264.224664090736,0.1623479640493315,0.6870039394103197,0.9959197788362323,False
sim_g152,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-12056.661042409956,-2.141816890326809,5.312757510176331,SE,9560,296.8449345966892,104307718994.37935,0.0014121532440185547,24149.983456844093,-12056.74772832779,0.08668591783316515,0.7684333770481873,0.9959197788362323,False
sim_g156,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-14345.920365306822,-2.335368260287256,6.626641121978808,SE,9560,15.840520743206262,5566167361.595344,0.0016529560089111328,28728.502102637824,-14346.274143620736,0.35377831391451764,0.5519820714413529,0.9303068619798084,False
sim_g158,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14515.534253815924,-2.4645510182429664,7.288700379936366,SE,9560,59869.317762599625,21037354004588.402,0.0027430057525634766,29067.729879656028,-14515.665318568812,0.13106475288805086,0.7173306111670243,0.9959197788362323,False
sim_g164,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-16230.090732571252,-2.710615172772532,9.087378696410418,SE,9560,3.512801502702212,1234355952.6254418,0.0015716552734375,32496.842837166685,-16230.776689563061,0.68595699180878,0.40754297152813124,0.7500790887020821,False
sim_g168,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-15096.963414643367,-2.5430194321030237,1.6169217474685715e-08,SE,9560,565.4688643101424,9.637482618101316e+19,0.0013408660888671875,30230.588201310915,-15096.963440795715,2.6152347345487215e-05,0.9959196867427668,0.9959197788362323,False
sim_g172,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14684.755265453876,-2.527756033941467,7.6479279614396125,SE,9560,5.374059343683184,1888379441.7500439,0.0014400482177734375,29406.171902931932,-14685.296037361175,0.5407719072991313,0.4621129990114665,0.8203189331564495,False
sim_g173,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-13192.627420615117,-2.2528092043986248,5.995764651376679,SE,9560,24.11547412071271,8473885873.821305,0.0014069080352783203,26421.916213254415,-13192.837523252827,0.21010263770949678,0.6466869695269574,0.9959197788362323,False
sim_g174,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15384.314173860494,-2.5716382200880923,8.070703081429032,SE,9560,113.10500172358107,39743729340.27377,0.0022788047790527344,30805.289719745168,-15384.448699566321,0.1345257058274001,0.7137850213217227,0.9959197788362323,False
sim_g180,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-16050.813079615351,-2.747418295237079,9.223793489047964,SE,9560,2.9202667704625997,1026146415.7907645,0.001497030258178711,32138.287531254882,-16051.50127349574,0.688193880389008,0.40677938913777556,0.7500790887020821,False
sim_g183,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15102.391275993425,-2.6624718600331985,8.461925878876622,SE,9560,4.613932410738456,1621280033.0019019,0.002537965774536133,30241.44392401103,-15102.998012433978,0.6067364405535045,0.4360192506929691,0.7832681150173096,False
sim_g185,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-15168.038028817713,-2.4925651180754254,7.605883159448061,SE,9560,26287.988209749536,9237281043186.111,0.002257823944091797,30372.737429659606,-15168.096056869854,0.058028052140798536,0.809640276211701,0.9959197788362323,False
sim_g187,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-16211.78292717975,-2.71157300208353,9.08589199349802,SE,9560,55.407839295568934,19469644443.043045,0.0016329288482666016,32460.22722638368,-16211.953985506454,0.17105832670495147,0.6791729470230625,0.9959197788362323,False
sim_g192,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-11946.096922440087,-2.1646643269943886,5.394387528286085,SE,9560,35.611617723641196,12513491663.584057,0.0013110637664794922,23928.855216904354,-11946.244643702961,0.14772126287425635,0.70072258203527,0.9959197788362323,False
sim_g194,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14343.110507999003,-2.405469046709652,6.957997566257814,SE,9560,8.619930937880762,3028939453.667614,0.0014259815216064453,28722.882388022186,-14343.60639541396,0.495887414957906,0.4813127516736456,0.8394989854772889,False
sim_g202,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14515.400268700532,-2.458146410828551,7.257165566879564,SE,9560,29.982689279170252,10535554303.045742,0.0028553009033203125,29067.461909425245,-14515.644441197823,0.24417249729049217,0.621208626656327,0.9959197788362323,False
sim_g203,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-12057.837844614725,-2.154809923709291,1.1074090899168461e-08,SE,9560,15.707468453059514,2.6770785050281436e+18,0.0025720596313476562,24152.33706125363,-12057.837870766583,2.615185803733766e-05,0.995919724913766,0.9959197788362323,False
sim_g210,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-16194.78767578528,-2.732469472875755,1.8962425890540194e-08,SE,9560,38.00819526913168,6.477868975129828e+18,0.005147218704223633,32426.23672359474,-16194.787701937388,2.615210905787535e-05,0.9959197053315731,0.9959197788362323,False
sim_g212,0.502360285505681,4,1.0655670566970437,0.9906031283573243,-12298.85411462025,-2.2472699626642334,2.9214239773498396,SE,9560,291.6495048435089,5463.013463600943,0.002610921859741211,24634.36960126468,-12298.9039699383,0.049855318049594644,0.8233152225517122,0.9959197788362323,False
sim_g214,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-15766.412211947903,-2.6503146604184544,8.602949834480643,SE,9560,8.644984714094335,3037743047.5396566,0.0013890266418457031,31569.485795919987,-15766.893123586626,0.48091163872231846,0.48800967169276344,0.846259546288029,False
sim_g216,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-16548.6969798747,-2.942792853812513,2.1697288995391196e-08,SE,9560,40.98812773845709,6.985749235014268e+18,0.0016169548034667969,33134.05533177358,-16548.69700602678,2.6152079954044893e-05,0.9959197076019675,0.9959197788362323,False
sim_g219,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-14712.563001125236,-2.4495080793173374,1.4987516928963645e-08,SE,9560,4.797086972160145,8.175842248735535e+17,0.004395008087158203,29461.787374274652,-14712.563027276672,2.6151436031796038e-05,0.995919757834766,0.9959197788362323,False
sim_g221,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-14814.538387108794,-2.5299489691845314,7.693796611510358,SE,9560,5.684637896732992,1997512988.1291156,0.0016660690307617188,29665.73814624177,-14815.010324525703,0.47193741690898605,0.4920972138716948,0.8484434721925772,False
sim_g223,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-15408.997739283457,-2.552780859365486,7.981728761643701,SE,9560,19.324434177012694,6790372396.281078,0.0015628337860107422,30854.656850591095,-15409.275947630404,0.2782083469464851,0.5978779412170256,0.9873602518365987,False
sim_g224,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14853.711797548016,-2.635015252626957,8.24667681100138,SE,9560,672.2631908156532,236225152682.5883,0.0032842159271240234,29744.084967120212,-14853.763298886848,0.051501338832167676,0.8204711256141237,0.9959197788362323,False
sim_g225,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14639.014464580125,-2.5105784037061287,7.549419346505638,SE,9560,81.35845695627089,28588377556.648132,0.001486063003540039,29314.69030118443,-14639.168878241375,0.1544136612501461,0.6943526906466488,0.9959197788362323,False
sim_g227,0.9999546021272736,4,1.0655670566970437,4.5399929762484854e-05,-15410.55844980561,-2.6468144575424364,8.470721905780747,SE,9560,1.869085390791603,656773995.4318861,0.0021860599517822266,30857.7782716354,-15411.45658428424,0.8981344786297996,0.34328241893598255,0.6436545355049673,False
sim_g228,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-16288.616040850144,-2.666293920985598,8.870786820177093,SE,9560,45.10481140186775,15849285080.046574,0.0014319419860839844,32613.893453724468,-16288.862819374095,0.24677852395143418,0.6193526080954019,0.9959197788362323,False
sim_g231,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14655.037842177602,-2.540343927161117,7.703835936959657,SE,9560,46.26085789318178,16255505832.083479,0.0014243125915527344,29346.737056379385,-14655.18765311774,0.1498109401381953,0.6987160961593977,0.9959197788362323,False
sim_g234,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15608.344829929634,-2.6207548012911266,8.39572062320891,SE,9560,3.7762782065409692,1326938478.999626,0.0015060901641845703,31253.35103188345,-15608.939714767124,0.594884837490099,0.44053637472262674,0.7866720977189763,False
sim_g236,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-12226.175542916028,-2.2806096915086087,5.952355867929205,SE,9560,659.8115968488313,231849813191.87714,0.001405954360961914,24489.012457856235,-12226.214399780127,0.03885686409921618,0.843732501941479,0.9959197788362323,False
sim_g241,0.9999546021272736,4,1.0655670566970437,4.5399929762484854e-05,-14805.664511699952,-2.613305925877615,8.119742339634243,SE,9560,42.685934929610056,14999321149.608013,0.0014531612396240234,29647.990395424084,-14805.82912986377,0.1646181638188864,0.6849397916331208,0.9959197788362323,False
sim_g243,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-13058.739521384896,-2.293826149050273,6.156541937822116,SE,9560,16.869938159295135,5927892188.423006,0.0013842582702636719,26154.140414793972,-13058.974681718204,0.23516033330815844,0.6277236396594741,0.9959197788362323,False
sim_g244,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14636.782385855277,-2.5268755403193452,7.630859822040922,SE,9560,65.69341925049376,23083872811.426506,0.001455068588256836,29310.226143734733,-14636.9420056472,0.15961979192434228,0.6895068064864356,0.9959197788362323,False
sim_g245,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15812.128441712111,-2.709113920212541,8.933037648562888,SE,9560,23.807076895951333,8365518819.867055,0.0014307498931884766,31660.918255448403,-15812.404950669512,0.2765089574004378,0.5989985527808699,0.9873602518365987,False
sim_g246,0.49905509127723235,4,1.0655670566970437,1.0037867022613065,-16254.493317486293,-2.6443029849570974,4.364108230078722,SE,9560,583.8656881928912,10936.319733941795,0.0013959407806396484,32545.648006996766,-16254.507878760909,0.01456127461642609,0.9039523374469493,0.9959197788362323,False
sim_g249,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-13979.78951685193,-2.399183328781571,6.841696028691417,SE,9560,789.0241464869599,277253540011.9297,0.0017962455749511719,27996.24040572804,-13979.910028613918,0.1205117619883822,0.728480103911227,0.9959197788362323,False
sim_g250,0.4988361768794747,4,1.0655670566970437,1.0046660645852266,-16073.724814106075,-2.8746574172614245,4.9636142603471916,SE,9560,741.7111385086297,13892.944703565447,0.003990650177001953,32184.11100023633,-16073.735313064606,0.010498958530661184,0.9183880483848323,0.9959197788362323,False
sim_g252,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-16120.864492115745,-2.7473936238273438,9.248489864039362,SE,9560,78.62549490725034,27628047754.088276,0.0013718605041503906,32278.39035625567,-16121.00037801242,0.13588589667597262,0.7124057357591822,0.9959197788362323,False
sim_g254,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-12578.596098317677,-2.266903692707356,1.226877587849866e-08,SE,9560,4.925862106879464,8.395318191768259e+17,0.0013878345489501953,25193.853568659535,-12578.596124469088,2.615141056594439e-05,0.9959197598213866,0.9959197788362323,False
sim_g257,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-12478.253066565354,-2.2388900210786815,5.8048884104912934,SE,9560,207.33199094631237,72853953460.77217,0.0029211044311523438,24993.16750515489,-12478.365782859033,0.11271629367911373,0.7370726155373413,0.9959197788362323,False
sim_g260,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15786.726863154192,-2.7652413965367333,9.231552477729574,SE,9560,1.5165866250731554,532910193.4439045,0.0014488697052001953,31610.115098332564,-15787.658295618394,0.9314324642018619,0.33449097659015514,0.631115050170104,False
