g,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,is_svg
sim_g003,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-7085.492926649298,-3.1137586993039896,2.051527424316951e-08,SE,9560,342.07375742218494,5.830082077616846e+19,0.0015721321105957031,14207.647225322778,-7085.492952801639,2.6152340979024302e-05,0.9959196872394132,0.9959197742953656,False
sim_g007,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-8021.443967573026,-3.2126549770629445,10.625760191635285,SE,9560,82.47648682025154,28981239725.64624,0.0016689300537109375,16079.549307170235,-8021.510638621057,0.06667104803091206,0.7962468671554086,0.9959197742953656,False
sim_g009,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-9493.278898726121,-3.303475029536881,11.330105603542371,SE,9560,87.04910993156886,30588004170.62292,0.0035851001739501953,19023.219169476422,-9493.346196385828,0.06729765970703738,0.7953128009973328,0.9959197742953656,False
sim_g012,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-8721.540745688242,-3.1427996885519836,10.231640676243494,SE,9560,123.27293562468789,43316618308.55298,0.0026161670684814453,17479.742863400665,-8721.592971964314,0.05222627607145114,0.8192337004592385,0.9959197742953656,False
sim_g015,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-10894.682882216995,-3.4249987223683926,12.292407946163001,SE,9560,535.6752714473864,188229810161.33307,0.0014410018920898438,21826.02713645817,-10894.696550603678,0.013668386682184064,0.9069298872375351,0.9959197742953656,False
sim_g028,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-12372.291172493515,-3.6262126049202545,13.917160582362541,SE,9560,8.435919833352152,2964280177.5679073,0.0014801025390625,24781.24371701121,-12372.674676425486,0.38350393197106314,0.5357339312346497,0.9959197742953656,False
sim_g036,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-9359.063575482527,-3.161139939204257,10.398949409493417,SE,9560,232.80936517219402,81806394556.08,0.0033528804779052734,18754.788522989234,-9359.091657870638,0.02808238811121555,0.866915275120512,0.9959197742953656,False
sim_g057,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-13803.822687209271,-3.838233055977777,15.770449960110744,SE,9560,30.977251698109857,10885031505.561577,0.001499176025390625,27644.306746442722,-13804.153227833434,0.3305406241634046,0.5653409222639235,0.9959197742953656,False
sim_g071,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15147.914607603825,-3.979461140306885,17.21489766058041,SE,9560,25.836297898466295,9078562531.997286,0.003481149673461914,30332.49058723183,-15148.174121372269,0.25951376844386687,0.6104543992744236,0.9959197742953656,False
sim_g075,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-10663.629034420177,-3.3993051054473864,12.09022928855596,SE,9560,0.38362442344545505,134800981.57784882,0.001374959945678711,21363.919440864534,-10665.40947387117,1.7804394509930717,0.18209537364698836,0.6915014189126141,False
sim_g082,0.5058862193568328,4,1.0655670566970437,0.9767289914992888,-12041.40339093096,-3.535925949515296,6.690120365198793,SE,9560,20.19933118060296,378.4316696776225,0.0014710426330566406,24119.4681538861,-12041.568862227432,0.1654712964718783,0.6841683781996274,0.9959197742953656,False
sim_g084,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-13836.504552180852,-3.8511241569380896,15.876700129900868,SE,9560,12270.285630230761,4311629933109.042,0.0014920234680175781,27709.670476385883,-13836.506467720345,0.001915539492983953,0.9650902303640412,0.9959197742953656,False
sim_g085,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-13184.526692120773,-3.7579293525890938,15.033240724120466,SE,9560,800.1049579571088,281147203114.6144,0.0015039443969726562,26405.714756265726,-13184.561370569956,0.03467844918304763,0.8522710598237807,0.9959197742953656,False
sim_g089,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-13866.319644449799,-3.8381903620524938,15.783956664919423,SE,9560,837.9138272402452,294432782395.3888,0.0014331340789794922,27769.30066092378,-13866.33959419464,0.019949744841142092,0.8876775306067652,0.9959197742953656,False
sim_g095,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-14053.857295780359,-3.914924798251522,16.420987249391246,SE,9560,5.1868348422305015,1822591016.8509552,0.001435995101928711,28144.3759635849,-14054.34294609692,0.4856503165610775,0.48587404128874845,0.9959197742953656,False
sim_g105,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-12058.286487401594,-3.550848551248041,13.327199135234162,SE,9560,1.923163571043535,675776413.7736899,0.0014488697052001953,24153.23434682737,-12059.135426908239,0.8489395066444558,0.3568525193773945,0.9959197742953656,False
sim_g111,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-12798.783941679972,-3.704151370154499,14.560698924064083,SE,9560,243.82199653754654,85676099994.90486,0.0020999908447265625,25634.229255384125,-12798.820179684815,0.036238004842743976,0.8490248269491232,0.9959197742953656,False
sim_g114,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-8476.400817302196,-3.231332037212639,10.777320852825168,SE,9560,0.12983893446894196,45623830.87155122,0.003016948699951172,16989.46300662857,-8479.531241613488,3.13042431129179,0.07684373759968821,0.3157961819165269,False
sim_g119,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-13343.276412717983,-3.854703006416393,3.2593843517700416e-08,SE,9560,565.4688643101429,9.637482618101316e+19,0.0014240741729736328,26723.214197460147,-13343.276438870329,2.615234552649781e-05,0.9959196868846657,0.9959197742953656,False
sim_g120,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-9144.11321147882,-3.2654277674079673,2.279552724007901e-08,SE,9560,192.41648854997925,3.2794211686594757e+19,0.0014090538024902344,18324.88779498182,-9144.113237631118,2.615229823277332e-05,0.9959196905740405,0.9959197742953656,False
sim_g126,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-7579.869908631988,-3.202247630546501,10.531387645407932,SE,9560,87.06215480295334,30592587980.49235,0.0014178752899169922,15196.401189288159,-7579.9328581159425,0.06294948395407118,0.8018934675648862,0.9959197742953656,False
