g,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,is_svg
sim_g020,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-12996.528703731306,-3.178000925950487,10.978769561144471,SE,9560,23.854272524978775,8382102792.950132,0.0015139579772949219,26029.718779486793,-12996.86085716855,0.3321534372444148,0.5643938091013501,0.9959197788362323,False
sim_g105,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-13589.94163698121,-3.475640242452375,13.074792106165939,SE,9560,228.48990564774022,80288588733.16464,0.0030291080474853516,27216.5446459866,-13590.02603421334,0.08439723213086836,0.7714245586293232,0.9959197788362323,False
sim_g115,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-12850.379901385955,-3.148447149813721,10.765226411836434,SE,9560,14.883443035503648,5229861833.166958,0.003129243850708008,25737.42117479609,-12850.623829481889,0.24392809593337006,0.621383321134008,0.9959197788362323,False
sim_g150,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-16599.314273032003,-4.348348936049808,20.778300022493355,SE,9560,465.15634533786925,163450312615.16116,0.0037047863006591797,33235.28991808819,-16599.418203718724,0.1039306867205596,0.7471626929085811,0.9959197788362323,False
sim_g154,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-16226.944519786699,-4.276597990871839,20.01860162251317,SE,9560,20.709606120547285,7277105060.395454,0.004186153411865234,32490.55041159758,-16227.296440185457,0.3519203987580113,0.5530280468998539,0.9875500837497391,False
sim_g155,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15647.702973674543,-4.102841993777931,18.364717598068648,SE,9560,61.43664108594564,21588092459.984432,0.0022721290588378906,31332.067319373265,-15647.814625608302,0.11165193375927629,0.7382712140783392,0.9959197788362323,False
sim_g157,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-15547.917249037331,-4.096124989851834,3.770333538202739e-08,SE,9560,9.50204881728292,1.619467243782457e+18,0.001409769058227539,31132.495870098843,-15547.91727518904,2.615170888020657e-05,0.9959197365496064,0.9959197788362323,False
sim_g158,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-15266.638725135053,-3.6173533323930385,2.991316116003036e-08,SE,9560,27.05856870234082,4.611686018427388e+18,0.0015649795532226562,30569.938822294287,-15266.638751287064,2.615201083244756e-05,0.9959197129941592,0.9959197788362323,False
sim_g161,0.4987925441165317,4,1.0655670566970437,1.0048414262989094,-13363.38926472185,-3.2526804389704314,5.753183619402218,SE,9560,1827.7784615896405,34236.02573694445,0.0023040771484375,26763.439901467882,-13363.392040857358,0.0027761355067923432,0.9579796673947123,0.9959197788362323,False
sim_g162,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-9651.13971805705,-2.762291372063208,8.06458158827569,SE,9560,77.01287848991181,27061393853.229927,0.0020499229431152344,19338.94080813828,-9651.21611971232,0.0764016552711837,0.7822343338887705,0.9959197788362323,False
