,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
242,0.6693865023255515,4,EPCAM,199.27437334509113,0.4918352505659921,-12560.284214045718,-6.954916846051675,3.0353539912610237,SE,10408,3.4272358233984646e-07,7.795275605350908e-06,0.011903047561645508,25157.569748172205,-18304.35584656953,5744.071632523814,0.0,0.0
317,0.5681250570244095,4,MS4A1,199.27437334509113,0.7569899016508999,-12030.152186117193,-2.0667371990160874,0.7874178224505355,SE,10408,4.034291136710095e-07,7.783033039108746e-06,0.003703594207763672,24097.305692315156,-17637.331920603814,5607.179734486621,0.0,0.0
347,0.663910106716639,4,PIGR,199.27437334509113,0.5041063819346385,-13052.053735332229,-3.9696895945231168,1.7354246187220517,SE,10408,3.0649522476358065e-07,6.879612527594258e-06,0.00541996955871582,26141.108790745227,-18628.46527253614,5576.411537203912,0.0,0.0
350,0.6428991377966802,4,POSTN,199.27437334509113,0.5531260063978001,-14629.551815335784,-1.9330572724044834,1.4946710855381873,SE,10408,4.0560175468933737e-07,8.697282822367512e-06,0.007470846176147461,29296.10495075234,-19700.917439537487,5071.365624201702,0.0,0.0
291,0.659752055546838,4,KRT5,199.27437334509113,0.5135595160696459,-13565.919136075352,-6.672576637944999,3.0333857274802463,SE,10408,3.6651157289235387e-07,8.14753586793195e-06,0.0041961669921875,27168.839592231474,-18542.294157227425,4976.375021152073,0.0,0.0
450,0.7375270049402924,4,GATA3,756.374000178828,0.3484481134576378,-12034.979820619748,-4.613013735341341,1.6755120490481545,SE,10408,5.507583083308967e-06,0.0001558722961746664,0.004422903060913086,24106.960961320267,-16781.660344629345,4746.680524009596,0.0,0.0
199,0.5595697934007116,4,CD79A,199.27437334509113,0.7837884465034576,-11547.00168412657,-2.3840487330283624,0.7718715886947937,SE,10408,5.371789019408483e-07,1.0290943040246473e-05,0.0034799575805664062,23131.00468833391,-16287.822587561357,4740.820903434787,0.0,0.0
320,0.6384142701494716,4,MYH11,199.27437334509113,0.564007292379195,-13720.650770527958,-1.3403069427316001,1.1799358096849555,SE,10408,4.564829145529089e-07,9.702870391962997e-06,0.005197763442993164,27478.302861136686,-18445.84830477058,4725.197534242623,0.0,0.0
449,0.6916329233931049,4,ESR1,756.374000178828,0.4365397168803106,-11490.033323249667,-3.9284850221598986,1.2117257610024093,SE,10408,8.38716904083242e-06,0.0002025258107565839,0.015123844146728516,23017.067966580104,-16135.380173421698,4645.346850172031,0.0,0.0
353,0.6102995253426564,4,PTGDS,199.27437334509113,0.6358635426616651,-13640.099942042463,-1.8013039650801754,1.1120182394747624,SE,10408,4.6218773172967226e-07,9.367688439303147e-06,0.004526853561401367,27317.201204165696,-18217.867589230176,4577.767647187713,0.0,0.0
